day,hole,time,temperature,humidity,light,pH,EC,TDS,WaterTemp,Label,LeafCount
1,1,9.19,26.8,72,17820,7.2,677,340,26.1,Selada,3
1,2,9.23,26.6,72,16490,7.2,677,338,26.1,Selada,3
1,3,9.27,26.4,72,15160,7.2,678,334,26.1,Selada,3
1,4,9.31,26.2,72,13830,7.2,677,338,26.1,Selada,3
1,5,9.35,26.2,72,12500,7.2,673,340,26.1,Selada,3
1,6,9.39,26.9,72,11170,7.2,673,336,26.1,Selada,3
1,7,9.43,26.8,72,19840,7.2,677,340,26.1,Selada,3
1,8,9.47,26.8,72,18510,7.2,677,338,26.1,Selada,3
1,9,9.51,26.2,72,17180,7.2,673,340,26.1,Selada,3
1,10,9.55,26.9,72,15850,7.2,677,338,26.1,Selada,3
1,1,11.52,27.1,55,50020,7.1,678,334,27.5,Selada,3
1,2,11.57,27.3,55,51940,7.1,677,340,27.5,Selada,3
1,3,12.03,27.5,55,53860,7.1,673,340,27.5,Selada,3
1,4,12.08,27.7,55,55780,7.1,677,338,27.5,Selada,3
1,5,12.13,27.9,55,57700,7.1,682,341,27.5,Selada,3
1,6,12.18,27.1,55,59620,7.1,682,341,27.5,Selada,3
1,7,12.23,27.3,55,51540,7.1,673,340,27.5,Selada,3
1,8,12.28,27.5,55,53460,7.1,677,338,27.5,Selada,3
1,9,12.33,27.7,55,55380,7.1,681,348,27.5,Selada,3
1,10,12.38,27.9,55,57300,7.1,673,340,27.5,Selada,3
1,1,14.13,27.9,44,36580,7.3,686,350,27.6,Selada,3
1,2,14.16,27.1,44,39660,7.3,673,340,27.6,Selada,3
1,3,14.19,27.3,44,32740,7.3,681,348,27.6,Selada,3
1,4,14.22,27.5,44,35820,7.3,668,334,27.6,Selada,3
1,5,14.25,27.7,44,38900,7.3,673,340,27.6,Selada,3
1,6,14.28,27.9,44,31980,7.3,686,350,27.6,Selada,3
1,7,14.31,27.8,44,35060,7.3,673,340,27.6,Selada,3
1,8,14.34,27.6,44,38140,7.3,677,338,27.6,Selada,3
1,9,14.37,27.4,44,31220,7.3,681,348,27.6,Selada,3
1,10,14.41,27.2,44,34300,7.3,673,340,27.6,Selada,3
1,1,16.17,25.1,54,57810,7.3,642,320,26.9,Selada,3
1,2,16.21,25.3,54,57120,7.3,645,322,26.9,Selada,3
1,3,16.25,25.5,54,56430,7.3,645,322,26.9,Selada,3
