datetime,day,hole,time,temperature,humidity,light,pH,EC,TDS,WaterTemp,LeafCount
2024-07-01 08:55:00,1,1,08:55:00,25.3,92,21910,7.0,660,330,23.1,3
2024-07-01 08:57:00,1,2,08:57:00,25.3,92,21910,7.0,660,330,23.1,3
2024-07-01 08:59:00,1,3,08:59:00,25.5,92,21060,7.8,984,492,26.1,3
2024-07-01 08:59:00,1,3,08:59:00,25.5,92,21060,7.0,652,326,23.1,4
2024-07-01 09:02:00,1,4,09:02:00,25.7,92,28330,7.0,656,328,23.1,3
2024-07-01 09:03:00,1,5,09:03:00,25.9,92,26400,7.0,660,330,23.1,4
2024-07-01 09:04:00,1,6,09:04:00,25.5,92,22280,7.0,642,320,23.1,4
2024-07-01 09:05:00,1,7,09:05:00,25.7,92,26210,7.0,645,322,23.1,4
2024-07-01 09:06:00,1,8,09:06:00,25.1,92,22280,7.0,645,322,23.1,3
2024-07-01 09:07:00,1,9,09:07:00,25.3,92,29231,7.0,642,321,23.1,3
2024-07-01 09:08:00,1,10,09:08:00,25.9,92,27850,7.0,642,321,23.1,4
2024-07-01 09:19:00,1,1,09:19:00,26.8,72,17820,7.2,677,340,26.1,3
2024-07-01 09:23:00,1,2,09:23:00,26.6,72,16490,7.2,677,338,26.1,3
2024-07-01 09:27:00,1,3,09:27:00,26.4,72,15160,7.2,678,334,26.1,3
2024-07-01 09:28:00,1,1,09:28:00,25.1,89,28330,6.7,520,260,26.8,3
2024-07-01 09:29:00,1,2,09:29:00,25.3,89,29231,6.7,520,262,26.8,3
2024-07-01 09:29:00,1,10,09:29:00,25.9,89,26210,6.7,522,265,26.8,4
2024-07-01 09:31:00,1,4,09:31:00,26.2,72,13830,7.2,677,338,26.1,3
2024-07-01 09:32:00,1,4,09:32:00,25.7,89,25030,6.7,525,271,26.8,3
2024-07-01 09:33:00,1,5,09:33:00,25.9,89,22280,6.7,529,262,26.8,4
2024-07-01 09:34:00,1,6,09:34:00,25.5,89,21060,6.7,522,266,26.8,4
2024-07-01 09:35:00,1,5,09:35:00,26.2,72,12500,7.2,673,340,26.1,4
2024-07-01 09:35:00,1,5,09:35:00,26.2,72,12500,7.2,673,340,26.1,3
2024-07-01 09:36:00,1,7,09:36:00,25.7,89,21910,6.7,521,264,26.8,4
2024-07-01 09:39:00,1,6,09:39:00,26.9,72,11170,7.2,673,336,26.1,4
2024-07-01 09:39:00,1,6,09:39:00,26.9,72,11170,7.2,673,336,26.1,3
2024-07-01 09:42:00,1,9,09:42:00,25.3,89,22280,6.7,524,268,26.8,3
2024-07-01 09:43:00,1,7,09:43:00,26.8,72,19840,7.2,677,340,26.1,4
2024-07-01 09:43:00,1,7,09:43:00,26.8,72,19840,7.2,677,340,26.1,3
2024-07-01 09:47:00,1,8,09:47:00,26.8,72,18510,7.2,677,338,26.1,3
2024-07-01 09:51:00,1,9,09:51:00,26.2,72,17180,7.2,673,340,26.1,3
2024-07-01 09:55:00,1,10,09:55:00,26.9,72,15850,7.2,677,338,26.1,4
2024-07-01 09:55:00,1,10,09:55:00,26.9,72,15850,7.2,677,338,26.1,3
2024-07-01 11:51:00,1,1,11:51:00,27.1,81,28440,7.2,656,328,27.5,3
2024-07-01 11:52:00,1,1,11:52:00,27.1,55,50020,7.1,678,334,27.5,3
2024-07-01 11:53:00,1,2,11:53:00,27.3,81,27820,7.2,660,330,27.5,3
2024-07-01 11:55:00,1,3,11:55:00,27.5,81,27200,7.2,642,320,27.5,4
2024-07-01 11:55:00,1,3,11:55:00,27.5,81,27200,7.7,952,459,31.5,3
2024-07-01 11:57:00,1,2,11:57:00,27.3,55,51940,7.1,677,340,27.5,3
2024-07-01 11:59:00,1,5,11:59:00,27.9,81,25960,7.2,645,322,27.5,4
2024-07-01 12:03:00,1,3,12:03:00,27.5,55,53860,7.1,673,340,27.5,3
2024-07-01 12:03:00,1,6,12:03:00,27.1,81,25340,7.2,642,321,27.5,4
2024-07-01 12:04:00,1,7,12:04:00,27.3,81,24720,7.2,645,322,27.5,4
2024-07-01 12:05:00,1,8,12:05:00,27.5,81,24100,7.2,645,322,27.5,3
2024-07-01 12:06:00,1,9,12:06:00,27.7,81,23480,7.2,646,328,27.5,3
2024-07-01 12:07:00,1,10,12:07:00,27.9,81,22860,7.1,645,322,27.5,4
2024-07-01 12:08:00,1,4,12:08:00,27.7,55,55780,7.1,677,338,27.5,3
2024-07-01 12:13:00,1,5,12:13:00,27.9,55,57700,7.1,682,341,31.5,4
2024-07-01 12:13:00,1,5,12:13:00,27.9,55,57700,7.1,682,341,27.5,3
2024-07-01 12:14:00,1,1,12:14:00,27.1,58,44180,6.9,522,266,27.8,3
2024-07-01 12:15:00,1,2,12:15:00,27.3,58,40520,6.9,521,264,27.8,3
2024-07-01 12:17:00,1,4,12:17:00,27.7,58,43730,6.9,524,268,27.8,3
2024-07-01 12:18:00,1,6,12:18:00,27.1,55,59620,7.1,682,341,27.5,3
2024-07-01 12:18:00,1,5,12:18:00,27.9,58,43300,6.9,522,265,27.8,4
2024-07-01 12:21:00,1,6,12:21:00,27.1,58,31690,6.9,520,262,27.8,4
2024-07-01 12:22:00,1,8,12:22:00,27.5,58,31070,6.9,525,271,27.8,3
2024-07-01 12:23:00,1,7,12:23:00,27.3,55,51540,7.1,673,340,27.5,3
2024-07-01 12:23:00,1,7,12:23:00,27.3,55,51540,7.1,673,340,31.5,4
2024-07-01 12:24:00,1,9,12:24:00,27.7,58,30510,6.9,514,258,27.8,3
2024-07-01 12:25:00,1,10,12:25:00,27.9,58,37250,6.9,520,262,27.8,4
2024-07-01 12:28:00,1,8,12:28:00,27.5,55,53460,7.1,677,338,27.5,3
2024-07-01 12:33:00,1,9,12:33:00,27.7,55,55380,7.1,681,348,27.5,3
2024-07-01 12:38:00,1,10,12:38:00,27.9,55,57300,7.1,673,340,27.5,3
2024-07-01 12:38:00,1,10,12:38:00,27.9,55,57300,7.1,673,340,31.5,4
2024-07-01 14:13:00,1,1,14:13:00,27.9,44,36580,7.3,686,350,27.6,3
2024-07-01 14:16:00,1,2,14:16:00,27.1,44,39660,7.3,673,340,27.6,3
2024-07-01 14:19:00,1,3,14:19:00,27.3,44,32740,7.3,681,348,27.6,3
2024-07-01 14:22:00,1,4,14:22:00,27.5,44,35820,7.3,668,334,27.6,3
2024-07-01 14:25:00,1,5,14:25:00,27.7,44,38900,7.8,673,340,32.6,4
2024-07-01 14:25:00,1,5,14:25:00,27.7,44,38900,7.3,673,340,27.6,3
2024-07-01 14:27:00,1,1,14:27:00,26.8,70,33730,7.0,667,338,31.1,3
2024-07-01 14:28:00,1,6,14:28:00,27.9,44,31980,7.3,686,350,27.6,3
2024-07-01 14:28:00,1,6,14:28:00,27.9,44,31980,7.8,686,350,32.6,4
2024-07-01 14:29:00,1,3,14:29:00,26.4,70,34180,7.0,664,332,31.1,4
2024-07-01 14:29:00,1,3,14:29:00,27.4,40,34180,6.7,522,265,26.5,3
2024-07-01 14:31:00,1,7,14:31:00,27.8,44,35060,7.3,673,340,27.6,3
2024-07-01 14:31:00,1,5,14:31:00,26.2,70,31070,7.0,665,332,31.1,4
2024-07-01 14:32:00,1,6,14:32:00,26.9,70,30510,7.0,664,332,31.1,4
2024-07-01 14:33:00,1,7,14:33:00,26.8,70,29950,7.0,659,329,31.1,4
2024-07-01 14:34:00,1,8,14:34:00,27.6,44,38140,7.3,677,338,27.6,3
2024-07-01 14:35:00,1,9,14:35:00,26.2,70,28830,7.0,652,326,31.1,3
2024-07-01 14:36:00,1,10,14:36:00,26.9,70,28270,7.0,664,332,31.1,4
2024-07-01 14:37:00,1,9,14:37:00,27.4,44,31220,7.3,681,348,27.6,3
2024-07-01 14:41:00,1,10,14:41:00,27.2,44,34300,7.8,673,340,32.6,4
2024-07-01 14:41:00,1,10,14:41:00,27.2,44,34300,7.3,673,340,27.6,3
2024-07-01 16:14:00,1,1,16:14:00,27.9,87,19010,6.9,665,332,28.9,3
2024-07-01 16:16:00,1,2,16:16:00,27.1,87,12840,6.9,668,334,28.9,3
2024-07-01 16:17:00,1,1,16:17:00,25.1,54,57810,7.3,642,320,26.9,3
2024-07-01 16:18:00,1,3,16:18:00,27.3,87,17110,7.6,915,454,34.1,3
2024-07-01 16:18:00,1,3,16:18:00,27.3,87,17110,6.9,668,334,28.9,4
2024-07-01 16:21:00,1,2,16:21:00,25.3,54,57120,7.3,645,322,26.9,3
2024-07-01 16:22:00,1,5,16:22:00,27.7,87,13280,6.9,668,334,28.9,4
2024-07-01 16:24:00,1,6,16:24:00,27.9,87,10220,6.9,650,335,28.9,4
2024-07-01 16:25:00,1,3,16:25:00,25.5,54,56430,7.3,645,322,26.9,3
2024-07-01 16:26:00,1,7,16:26:00,27.8,87,11370,6.9,668,334,28.9,4
2024-07-01 16:28:00,1,8,16:28:00,27.6,87,11970,6.9,668,334,28.9,3
2024-07-01 16:29:00,1,4,16:29:00,25.7,54,55740,7.3,642,321,26.9,3
2024-07-01 16:32:00,1,10,16:32:00,27.2,87,10900,6.9,664,332,28.9,4
2024-07-01 16:33:00,1,5,16:33:00,25.9,54,55050,7.3,645,322,34.1,4
2024-07-01 16:33:00,1,5,16:33:00,25.9,54,55050,7.3,645,322,26.9,3
2024-07-01 16:34:00,1,2,16:34:00,26.3,47,22840,6.8,522,266,26.4,3
2024-07-01 16:35:00,1,3,16:35:00,26.1,47,27110,6.8,521,264,26.4,3
2024-07-01 16:36:00,1,4,16:36:00,26.7,47,24440,6.8,520,262,26.4,3
2024-07-01 16:37:00,1,5,16:37:00,26.4,47,33280,6.8,522,265,26.4,4
2024-07-01 16:37:00,1,6,16:37:00,25.5,54,54360,7.3,645,322,26.9,3
2024-07-01 16:38:00,1,6,16:38:00,26.1,47,20220,6.8,525,271,26.4,4
2024-07-01 16:41:00,1,7,16:41:00,25.7,54,53670,7.3,646,328,26.9,3
2024-07-01 16:41:00,1,7,16:41:00,25.7,54,53670,7.3,646,328,34.1,4
2024-07-01 16:42:00,1,7,16:42:00,24.8,47,21370,6.8,514,258,26.4,4
2024-07-01 16:43:00,1,8,16:43:00,24.5,47,23970,6.8,520,262,26.4,3
2024-07-01 16:44:00,1,9,16:44:00,24.2,47,25780,6.8,522,266,26.4,3
2024-07-01 16:45:00,1,10,16:45:00,24.9,47,20990,6.8,520,260,26.4,4
2024-07-01 16:45:00,1,8,16:45:00,25.1,54,52980,7.3,645,322,26.9,3
2024-07-01 16:49:00,1,9,16:49:00,25.3,54,52290,7.3,645,322,26.9,3
2024-07-01 16:53:00,1,10,16:53:00,25.9,54,51600,7.3,647,323,34.1,4
2024-07-01 16:53:00,1,10,16:53:00,25.9,54,51600,7.3,647,323,26.9,3
2024-07-02 08:45:00,2,1,08:45:00,23.1,72,36180,6.8,536,274,24.7,3
2024-07-02 08:47:00,2,2,08:47:00,23.4,72,32510,6.8,522,265,24.7,3
2024-07-02 08:49:00,2,3,08:49:00,23.7,72,33430,6.8,520,262,24.7,3
2024-07-02 08:51:00,2,4,08:51:00,23.2,72,33100,6.8,522,265,24.7,3
2024-07-02 08:53:00,2,5,08:53:00,23.5,72,31140,6.8,525,271,24.7,4
2024-07-02 08:55:00,2,6,08:55:00,23.8,72,34770,6.8,514,258,24.7,4
2024-07-02 08:57:00,2,7,08:57:00,23.1,72,30900,6.8,520,262,24.7,4
2024-07-02 08:59:00,2,8,08:59:00,23.2,72,33220,6.8,524,269,24.7,3
2024-07-02 09:01:00,2,9,09:01:00,23.3,72,29940,6.8,520,260,24.7,3
2024-07-02 09:03:00,2,10,09:03:00,23.4,72,56850,6.8,522,265,24.7,4
2024-07-02 09:17:00,2,1,09:17:00,26.3,89,22300,6.9,908,454,23.9,3
2024-07-02 09:17:00,2,1,09:17:00,26.3,89,22300,6.9,642,320,26.5,4
2024-07-02 09:19:00,2,2,09:19:00,26.1,89,25490,6.9,645,322,26.5,3
2024-07-02 09:21:00,2,3,09:21:00,26.7,89,24470,6.9,645,322,26.5,4
2024-07-02 09:21:00,2,3,09:21:00,26.7,89,24470,6.9,900,450,23.9,3
2024-07-02 09:24:00,2,4,09:24:00,26.4,89,21820,6.9,642,321,26.5,3
2024-07-02 09:27:00,2,5,09:27:00,26.1,89,21450,6.9,645,322,26.5,4
2024-07-02 09:28:00,2,1,09:28:00,29.8,72,16210,7.0,644,322,23.9,3
2024-07-02 09:29:00,2,2,09:29:00,29.6,72,15230,7.0,652,326,23.9,3
2024-07-02 09:29:00,2,10,09:29:00,29.2,72,17390,7.0,642,321,23.9,4
