day,hole,time,temperature,humidity,light,pH,EC,TDS,WaterTemp,Label,LeafCount
1,1,9.28,25.1,89,28330,6.7,686,343,26.8,Selada,4
1,2,9.29,25.3,89,29231,6.7,686,343,26.8,Selada,3
1,3,9.31,25.5,89,27850,6.7,686,343,26.8,Selada,3
1,4,9.32,25.7,89,25030,6.7,678,334,26.8,Selada,3
1,5,9.33,25.9,89,22280,6.7,686,343,26.8,Selada,4
1,6,9.34,25.5,89,21060,6.7,686,343,26.8,Selada,4
1,7,9.36,25.7,89,21910,6.7,681,348,26.8,Selada,4
1,8,9.39,25.1,89,26400,6.7,686,343,26.8,Selada,4
1,9,9.42,25.3,89,22280,6.7,681,348,26.8,Selada,4
1,10,9.29,25.9,89,26210,6.7,686,350,26.8,Selada,4
1,1,12.14,27.1,58,44180,6.9,677,340,27.8,Selada,4
1,2,12.15,27.3,58,40520,6.9,677,338,27.8,Selada,3
1,3,12.15,27.5,58,44630,6.9,678,334,27.8,Selada,3
1,4,12.17,27.7,58,43730,6.9,677,338,27.8,Selada,3
1,5,12.18,27.9,58,43300,6.9,673,340,27.8,Selada,4
1,6,12.21,27.1,58,31690,6.9,673,336,27.8,Selada,4
1,7,12.21,27.3,58,42660,6.9,677,340,27.8,Selada,4
1,8,12.22,27.5,58,31070,6.9,677,338,27.8,Selada,4
1,9,12.24,27.7,58,30510,6.9,673,340,27.8,Selada,4
1,10,12.25,27.9,58,37250,6.9,677,338,27.8,Selada,4
1,1,14.27,27.8,40,32280,6.7,664,332,26.5,Selada,4
1,2,14.28,27.6,40,36210,6.7,665,332,26.5,Selada,3
1,3,14.29,27.4,40,34180,6.7,668,334,26.5,Selada,3
1,4,14.31,27.2,40,30520,6.7,668,334,26.5,Selada,3
1,5,14.31,27.2,40,44630,6.7,665,332,26.5,Selada,4
1,6,14.32,27.9,40,45430,6.7,668,334,26.5,Selada,4
1,7,14.33,27.8,40,43230,6.7,650,335,26.5,Selada,4
1,8,14.34,27.8,40,42820,6.7,668,334,26.5,Selada,4
1,9,14.35,27.2,40,45370,6.7,668,334,26.5,Selada,4
1,10,14.36,26.9,40,41200,6.7,667,338,26.5,Selada,4
1,1,16.33,26.6,47,29010,6.8,650,335,26.4,Selada,4
1,2,16.34,26.3,47,22840,6.8,664,332,26.4,Selada,3
1,3,16.35,26.1,47,27110,6.8,655,327,26.4,Selada,3
1,4,16.36,26.7,47,24440,6.8,665,332,26.4,Selada,3
1,5,16.37,26.4,47,33280,6.8,664,332,26.4,Selada,4
1,6,16.38,26.1,47,20220,6.8,659,329,26.4,Selada,4
1,7,16.42,24.8,47,21370,6.8,664,332,26.4,Selada,4
1,8,16.43,24.5,47,23970,6.8,652,326,26.4,Selada,4
1,9,16.44,24.2,47,25780,6.8,649,324,26.4,Selada,4
1,10,16.45,24.9,47,20990,6.8,664,332,26.4,Selada,4
2,1,9.17,26.3,89,22300,6.9,642,320,26.5,Selada,4
2,2,9.19,26.1,89,25490,6.9,645,322,26.5,Selada,3
2,3,9.21,26.7,89,24470,6.9,645,322,26.5,Selada,3
