datetime,day,hole,time,temperature,humidity,light,pH,EC,TDS,WaterTemp,LeafCount
2024-01-01 08:45:00,1,1,08:45:00,23.1,72,36180,6.8,644,322,24.7,4
2024-01-01 08:47:00,1,2,08:47:00,23.4,72,32510,6.8,652,326,24.7,3
2024-01-01 08:49:00,1,3,08:49:00,23.7,72,33430,6.8,654,327,24.7,3
2024-01-01 08:51:00,1,4,08:51:00,23.2,72,33100,6.8,648,324,24.7,3
2024-01-01 08:53:00,1,5,08:53:00,23.5,72,31140,6.8,644,322,24.7,4
2024-01-01 08:55:00,1,6,08:55:00,23.8,72,34770,6.8,645,322,24.7,3
2024-01-01 08:57:00,1,7,08:57:00,23.1,72,30900,6.8,652,326,24.7,3
2024-01-01 08:59:00,1,8,08:59:00,23.2,72,33220,6.8,648,324,24.7,4
2024-01-01 09:01:00,1,9,09:01:00,23.3,72,29940,6.8,643,321,24.7,4
2024-01-01 09:03:00,1,10,09:03:00,23.4,72,56850,6.8,642,321,24.7,3
2024-01-01 09:17:00,1,1,09:17:00,26.3,89,22300,6.9,642,320,26.5,4
2024-01-01 09:19:00,1,2,09:19:00,26.1,89,25490,6.9,645,322,26.5,3
2024-01-01 09:21:00,1,3,09:21:00,26.7,89,24470,6.9,645,322,26.5,3
2024-01-01 09:24:00,1,4,09:24:00,26.4,89,21820,6.9,642,321,26.5,3
2024-01-01 09:27:00,1,5,09:27:00,26.1,89,21450,6.9,645,322,26.5,4
2024-01-01 09:28:00,1,1,09:28:00,25.1,89,28330,6.7,686,343,26.8,4
2024-01-01 09:29:00,1,10,09:29:00,25.9,89,26210,6.7,686,350,26.8,4
2024-01-01 09:29:00,1,2,09:29:00,25.3,89,29231,6.7,686,343,26.8,3
2024-01-01 09:31:00,1,3,09:31:00,25.5,89,27850,6.7,686,343,26.8,3
2024-01-01 09:31:00,1,6,09:31:00,26.8,89,22710,6.9,645,322,26.5,3
2024-01-01 09:31:00,1,7,09:31:00,26.5,89,27610,6.9,646,328,26.5,3
2024-01-01 09:32:00,1,4,09:32:00,25.7,89,25030,6.7,678,334,26.8,3
2024-01-01 09:33:00,1,5,09:33:00,25.9,89,22280,6.7,686,343,26.8,4
2024-01-01 09:33:00,1,8,09:33:00,26.9,89,23850,6.9,645,322,26.5,4
2024-01-01 09:34:00,1,6,09:34:00,25.5,89,21060,6.7,686,343,26.8,4
2024-01-01 09:35:00,1,9,09:35:00,26.6,89,26920,6.9,645,322,26.5,4
2024-01-01 09:36:00,1,10,09:36:00,26.6,89,28080,6.9,647,323,26.5,3
2024-01-01 09:36:00,1,7,09:36:00,25.7,89,21910,6.7,681,348,26.8,4
2024-01-01 09:39:00,1,8,09:39:00,25.1,89,26400,6.7,686,343,26.8,4
2024-01-01 09:42:00,1,9,09:42:00,25.3,89,22280,6.7,681,348,26.8,4
2024-01-01 11:51:00,1,1,11:51:00,25.1,55,51070,7.1,652,326,27.5,4
2024-01-01 11:53:00,1,2,11:53:00,25.3,55,50510,7.1,656,328,27.5,3
2024-01-01 11:55:00,1,3,11:55:00,25.5,55,57250,7.1,660,330,27.5,3
2024-01-01 11:57:00,1,4,11:57:00,25.7,55,59010,7.1,642,320,27.5,3
2024-01-01 11:59:00,1,5,11:59:00,25.9,55,52840,7.1,645,322,27.5,4
2024-01-01 12:03:00,1,6,12:03:00,25.5,55,57110,7.1,645,322,27.5,3
2024-01-01 12:04:00,1,7,12:04:00,25.7,55,54440,7.1,642,321,27.5,3
2024-01-01 12:05:00,1,8,12:05:00,25.1,55,53280,7.1,645,322,27.5,4
2024-01-01 12:06:00,1,9,12:06:00,25.3,55,50220,7.1,645,322,27.5,4
2024-01-01 12:07:00,1,10,12:07:00,25.9,55,51370,7.1,646,328,27.5,3
2024-01-01 12:09:00,1,1,12:09:00,27.9,58,58310,6.8,677,340,27.5,4
2024-01-01 12:11:00,1,2,12:11:00,27.1,58,51900,6.8,677,338,27.5,3
2024-01-01 12:13:00,1,3,12:13:00,27.3,58,57110,6.8,678,334,27.5,3
2024-01-01 12:14:00,1,4,12:14:00,27.5,58,51940,6.8,677,338,27.5,3
2024-01-01 12:14:00,1,1,12:14:00,27.1,58,44180,6.9,677,340,27.8,4
2024-01-01 12:15:00,1,5,12:15:00,27.7,58,56410,6.8,673,340,27.5,4
2024-01-01 12:15:00,1,3,12:15:00,27.5,58,44630,6.9,678,334,27.8,3
2024-01-01 12:15:00,1,2,12:15:00,27.3,58,40520,6.9,677,338,27.8,3
2024-01-01 12:16:00,1,6,12:16:00,27.9,58,58520,6.8,673,336,27.5,3
2024-01-01 12:17:00,1,4,12:17:00,27.7,58,43730,6.9,677,338,27.8,3
2024-01-01 12:18:00,1,7,12:18:00,27.8,58,57500,6.8,677,340,27.5,3
2024-01-01 12:18:00,1,5,12:18:00,27.9,58,43300,6.9,673,340,27.8,4
2024-01-01 12:19:00,1,8,12:19:00,27.6,58,53730,6.8,677,338,27.5,4
2024-01-01 12:21:00,1,6,12:21:00,27.1,58,31690,6.9,673,336,27.8,4
2024-01-01 12:21:00,1,9,12:21:00,27.4,58,54990,6.8,673,340,27.5,4
2024-01-01 12:21:00,1,7,12:21:00,27.3,58,42660,6.9,677,340,27.8,4
2024-01-01 12:22:00,1,8,12:22:00,27.5,58,31070,6.9,677,338,27.8,4
2024-01-01 12:22:00,1,10,12:22:00,27.2,58,57730,6.8,677,338,27.5,3
2024-01-01 12:24:00,1,9,12:24:00,27.7,58,30510,6.9,673,340,27.8,4
2024-01-01 12:25:00,1,10,12:25:00,27.9,58,37250,6.9,677,338,27.8,4
2024-01-01 14:06:00,1,1,14:06:00,26.1,45,44180,6.9,682,341,31.3,4
2024-01-01 14:08:00,1,2,14:08:00,26.7,45,40520,6.9,673,340,31.3,3
2024-01-01 14:11:00,1,3,14:11:00,26.4,45,44630,6.9,677,338,31.3,3
2024-01-01 14:12:00,1,4,14:12:00,26.1,45,43730,6.9,681,348,31.3,3
2024-01-01 14:14:00,1,5,14:14:00,26.8,45,43300,6.9,673,340,31.3,4
2024-01-01 14:16:00,1,6,14:16:00,26.5,45,31690,6.9,686,343,31.3,3
2024-01-01 14:18:00,1,7,14:18:00,26.2,45,42660,6.9,686,343,31.3,3
2024-01-01 14:21:00,1,8,14:21:00,26.9,45,31070,6.9,686,343,31.3,4
2024-01-01 14:21:00,1,1,14:21:00,26.1,40,36490,6.7,686,350,31.1,4
2024-01-01 14:22:00,1,9,14:22:00,26.3,45,30510,6.9,678,334,31.3,4
2024-01-01 14:23:00,1,2,14:23:00,26.7,40,39590,6.7,673,340,31.1,3
2024-01-01 14:24:00,1,10,14:24:00,26.1,45,37250,6.9,686,343,31.3,3
2024-01-01 14:24:00,1,3,14:24:00,26.4,40,36500,6.7,681,348,31.1,3
2024-01-01 14:25:00,1,4,14:25:00,26.1,40,35070,6.7,668,334,31.1,3
2024-01-01 14:26:00,1,5,14:26:00,26.8,40,39970,6.7,673,340,31.1,4
2024-01-01 14:27:00,1,6,14:27:00,26.5,40,38840,6.7,686,350,31.1,3
2024-01-01 14:27:00,1,1,14:27:00,27.8,40,32280,6.7,664,332,26.5,4
2024-01-01 14:28:00,1,7,14:28:00,26.2,40,26390,6.7,673,340,31.1,3
2024-01-01 14:28:00,1,2,14:28:00,27.6,40,36210,6.7,665,332,26.5,3
2024-01-01 14:29:00,1,3,14:29:00,27.4,40,34180,6.7,668,334,26.5,3
2024-01-01 14:29:00,1,8,14:29:00,26.9,40,28620,6.7,677,338,31.1,4
